MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,PoolArea,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,houseage,houseremodelage,totalsf,totalarea,totalbaths,totalporchsf
20,RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,No,0.0,TA,TA,CBlock,TA,TA,No,Rec,134,GasA,Ex,Y,SBrkr,0,3,1,TA,5,Typ,0,No,Detchd,Unf,1,TA,Y,0,0,2,WD,Normal,11.771443882099637,43,43,1946,2080,2.0,0
60,RL,85.0,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,177,GasA,Ex,Y,SBrkr,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,TA,Y,0,0,7,New,Partial,12.75130259456002,1,0,3322,3499,4.0,168
20,RL,0.0,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,No,0.0,TA,TA,CBlock,TA,TA,No,ALQ,175,GasA,TA,Y,SBrkr,0,2,1,TA,4,Typ,0,No,Detchd,Unf,1,TA,Y,0,0,9,WD,Normal,11.87757552297847,46,46,1649,1824,2.0,316
20,RL,91.0,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,1494,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,TA,Y,0,0,8,New,Partial,12.540761149388421,1,0,1494,2988,2.0,193
20,RL,0.0,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,520,GasA,TA,Y,SBrkr,0,2,1,TA,5,Typ,1,Fa,Attchd,RFn,1,TA,Y,0,0,5,WD,Normal,11.964007453736912,48,48,1986,2506,2.5,389
45,RM,51.0,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,BrkTil,TA,TA,No,Unf,832,GasA,Ex,Y,FuseA,0,2,1,TA,5,Typ,0,No,Detchd,Unf,2,TA,Y,0,0,7,WD,Normal,11.790564777297387,78,6,854,1686,1.0,160
20,RL,0.0,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,426,GasA,Ex,Y,SBrkr,0,2,1,TA,5,Typ,1,TA,Attchd,Fin,2,TA,Y,0,700,3,WD,Normal,11.91170829631447,40,40,1582,2008,2.0,0
90,RL,72.0,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,Slab,No,No,No,Unf,0,GasA,TA,Y,SBrkr,0,2,2,TA,6,Typ,0,No,CarPort,Unf,2,TA,Y,0,500,10,WD,Normal,11.407576060361786,39,39,1296,1296,2.0,0
20,RL,66.0,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,PConc,TA,TA,No,GLQ,468,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,0,No,Detchd,Unf,2,TA,Y,0,0,6,WD,Normal,11.976665770490767,4,4,1760,2228,2.5,102
20,RL,70.0,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,No,0.0,TA,TA,CBlock,TA,TA,No,LwQ,525,GasA,TA,Y,SBrkr,0,3,1,TA,6,Min1,0,No,Attchd,Unf,1,TA,Y,0,0,5,COD,Abnorml,11.842236406331555,51,44,1843,2368,1.0,0
60,RL,101.0,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,1158,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,TA,Y,0,0,11,New,Partial,12.692506186542177,1,0,2376,3534,3.5,394
45,RM,57.0,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,PConc,TA,TA,No,Unf,637,GasA,Ex,Y,FuseF,0,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,TA,N,0,0,6,WD,Normal,11.845109950883979,77,57,1108,1745,1.0,205
20,RL,75.0,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,1777,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,TA,Y,0,0,9,WD,Normal,12.345838935721968,6,6,1795,3572,2.0,330
120,RM,44.0,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,No,0.0,TA,TA,PConc,Gd,TA,No,GLQ,200,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,TA,Y,0,0,6,WD,Normal,11.774527900858468,31,31,1900,2100,2.0,210
20,RL,0.0,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,No,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,204,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,1,TA,Attchd,Unf,1,TA,Y,0,0,5,WD,Normal,11.944714374881176,42,9,1916,2120,2.0,496
20,RL,110.0,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,1566,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,TA,Y,0,0,7,WD,Normal,12.454107814022272,2,2,1600,3166,2.0,56
20,RL,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,180,GasA,TA,Y,SBrkr,0,3,1,Gd,5,Typ,0,No,Detchd,Unf,2,TA,Y,0,0,5,WD,Normal,11.811554895830454,59,10,1620,1800,1.5,254
20,RL,98.0,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,486,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,TA,Y,0,0,5,WD,Normal,12.631343648903034,3,2,2922,3408,3.0,50
20,RL,47.0,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,207,GasA,TA,Y,SBrkr,0,2,1,TA,6,Typ,2,Gd,Attchd,RFn,1,TA,Y,0,0,12,WD,Normal,12.242891437918386,49,9,2877,3084,2.0,546
30,RM,60.0,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,BrkTil,TA,TA,No,Unf,520,GasA,Fa,N,SBrkr,0,1,1,Fa,4,Typ,0,No,Detchd,Unf,1,Fa,Y,0,0,5,WD,Normal,11.134603622683905,81,58,520,1040,1.0,136
70,C (all),50.0,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,No,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,649,GasA,TA,N,SBrkr,0,3,1,TA,6,Typ,0,No,Detchd,Unf,1,TA,N,0,0,7,WD,Normal,10.596659732783579,88,58,1317,1966,1.0,226
20,RL,0.0,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,No,0.0,TA,TA,CBlock,TA,TA,No,Unf,1228,GasA,Gd,Y,SBrkr,0,3,1,Gd,6,Typ,0,No,Attchd,Unf,1,TA,Y,0,0,6,WD,Normal,11.914054519303125,42,2,1228,2456,1.5,65
20,RL,85.0,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,1234,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,No,Attchd,RFn,2,TA,Y,0,0,1,WD,Normal,12.100161978566867,1,1,1234,2468,2.0,30
20,RL,70.0,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,No,0.0,TA,TA,CBlock,TA,TA,No,Rec,380,GasA,Gd,Y,SBrkr,0,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,TA,Y,0,0,4,WD,Normal,12.016732516077072,51,51,2718,3098,2.0,38
120,RL,60.0,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,408,GasA,Ex,Y,SBrkr,0,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,TA,Y,0,0,8,WD,Normal,12.533579815765737,2,2,2714,3122,3.0,250
60,RL,108.0,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,1117,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,3,TA,Y,0,0,9,WD,Normal,12.6410997921206,2,1,2452,3569,3.5,145
20,RL,112.0,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,PConc,Gd,TA,No,Unf,1097,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,0,No,Attchd,Unf,2,TA,Y,0,0,6,WD,Normal,11.884495917930655,15,14,1097,2194,1.5,456
20,RL,74.0,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,84,GasA,Gd,Y,SBrkr,0,3,1,TA,5,Typ,1,TA,Attchd,Fin,2,TA,Y,0,0,10,WD,Normal,11.938199736300925,55,19,2510,2594,1.5,0
20,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,326,GasA,TA,Y,SBrkr,0,3,1,Gd,5,Typ,0,No,Detchd,Unf,1,TA,Y,0,0,1,WD,Abnorml,11.599112335481124,57,3,1788,2114,2.0,52
90,RL,65.0,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,No,0.0,TA,TA,PConc,No,No,No,Unf,0,GasA,TA,N,FuseP,0,2,2,Fa,6,Typ,0,No,No,No,0,No,N,0,0,6,WD,AdjLand,11.314486721293981,53,53,1152,1152,2.0,0
20,RL,84.0,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,445,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,TA,Y,0,0,12,WD,Abnorml,11.982935344196433,41,41,1967,2412,2.0,138
20,RL,115.0,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,383,GasA,Gd,Y,SBrkr,0,2,1,TA,5,Typ,2,Gd,Attchd,RFn,1,TA,P,0,0,7,WD,Normal,12.04355959836804,48,48,2295,2678,2.0,104
85,RL,0.0,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,No,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,0,GasA,Gd,Y,SBrkr,0,2,1,Gd,5,Typ,0,No,Attchd,RFn,2,TA,Y,0,0,12,WD,Normal,11.87757552297847,24,24,1724,1724,2.0,240
20,RL,0.0,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,167,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,0,No,Detchd,Unf,1,TA,Y,0,0,7,WD,Normal,11.777218637129327,33,28,1709,1876,2.0,145
20,RL,70.0,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,No,0.0,TA,TA,CBlock,TA,TA,No,ALQ,465,GasA,Ex,Y,FuseA,0,3,1,TA,6,Typ,0,No,Attchd,RFn,1,TA,Y,0,0,5,WD,Normal,11.856522261533737,47,47,1835,2300,2.0,0
120,RL,61.0,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,1296,GasA,Ex,Y,SBrkr,0,2,1,Ex,6,Typ,1,Gd,Attchd,RFn,2,TA,Y,0,0,2,WD,Normal,12.675766851909591,5,5,2208,3504,3.0,278
50,RL,48.0,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,83,GasA,Ex,Y,SBrkr,0,1,1,Gd,6,Typ,1,Ex,Attchd,RFn,2,TA,Y,0,0,8,WD,Abnorml,12.387089184491993,6,6,3500,3583,2.5,409
20,FV,84.0,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1632,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,No,Attchd,RFn,3,TA,Y,0,0,7,WD,Normal,12.428019481065613,1,1,1680,3312,2.0,146
190,RM,33.0,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,BrkTil,TA,TA,No,Unf,736,GasA,Gd,Y,SBrkr,0,2,3,TA,8,Typ,0,No,No,No,0,No,N,0,0,6,New,Partial,11.635151947212842,89,1,1452,2188,2.0,102
20,RL,66.0,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,No,0.0,TA,TA,CBlock,TA,TA,No,BLQ,192,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,0,No,Attchd,Unf,1,TA,Y,0,0,1,WD,Normal,11.751950239425476,41,41,1718,1910,2.0,0
60,RL,0.0,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,612,GasA,Gd,Y,SBrkr,0,3,1,TA,6,Typ,0,No,Attchd,Fin,2,TA,Y,0,0,7,WD,Normal,12.083910661257521,10,10,1652,2264,2.5,75
50,RM,52.0,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,PConc,TA,TA,No,Unf,816,GasA,TA,Y,SBrkr,360,3,1,TA,6,Typ,1,Gd,Detchd,Unf,2,TA,Y,0,400,9,WD,Normal,11.648338835562747,72,56,816,1992,1.0,112
90,RM,110.0,8472,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,0,GasA,TA,N,SBrkr,0,2,1,TA,5,Typ,0,No,CarPort,Unf,2,TA,Y,0,0,5,WD,Normal,11.608244735642321,47,47,1632,1632,2.0,106
20,RL,68.0,50271,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,Gable,WdShngl,WdShing,Wd Shng,No,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,32,GasA,Gd,Y,SBrkr,0,0,1,Gd,5,Typ,1,Gd,Attchd,Fin,3,TA,Y,0,0,11,WD,Normal,12.861001210669146,25,19,3652,3684,2.5,929
80,RL,60.0,7134,Pave,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,CBlock,TA,TA,No,ALQ,0,GasA,TA,Y,SBrkr,0,3,1,TA,6,Min1,1,TA,Detchd,Unf,2,TA,Y,0,0,2,WD,Normal,11.775297421715827,52,52,1744,1744,1.0,50
20,RL,100.0,10175,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,935,GasA,Gd,Y,SBrkr,0,3,1,TA,7,Typ,1,Gd,Attchd,RFn,2,TA,Y,0,0,7,WD,Normal,12.103491596905931,44,44,1915,2850,2.0,407
160,FV,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,321,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,No,Attchd,Fin,2,TA,Y,0,0,8,WD,Abnorml,12.058158312538197,10,9,2388,2709,3.5,115
60,RL,89.0,11645,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,Gd,TA,PConc,Gd,TA,No,Unf,860,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,No,Attchd,RFn,2,TA,Y,0,0,8,WD,Normal,12.188422799337028,2,2,1720,2580,2.5,70
60,RL,66.0,13682,Pave,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,1410,GasA,Ex,Y,SBrkr,0,3,1,Gd,10,Typ,1,Gd,BuiltIn,Fin,3,TA,Y,0,0,10,New,Partial,12.991755706536901,0,0,2945,4355,3.5,229
20,RL,60.0,7200,Pave,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,No,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,148,GasA,Ex,Y,SBrkr,0,2,1,TA,4,Typ,0,No,Detchd,Unf,1,TA,Y,0,0,1,WD,Normal,11.735276702486741,36,36,1412,1560,1.0,196
20,RL,63.0,13072,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,PConc,Gd,TA,No,ALQ,217,GasA,Ex,Y,SBrkr,0,3,1,Gd,5,Typ,0,No,Detchd,Unf,2,TA,Y,0,0,5,New,Partial,11.970356641102999,2,2,2099,2316,2.5,50
75,RM,60.0,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,530,GasA,TA,N,SBrkr,0,3,1,Fa,6,Typ,0,No,Detchd,Unf,1,TA,N,0,0,3,WD,Normal,11.522885696764481,87,11,1111,1641,1.0,144
